Name,Code,Type,Extent,Data Source,Remarks,Revision Date
Pulkovo 1995 / Gauss-Kruger CM 27E,2464,projected,Russia - 24°E to 30°E onshore,EPSG,Truncated form of Pulkovo 1995…,"June 22, 2002"
Pulkovo 1995 / Gauss-Kruger CM 33E,2465,projected,Russia - 30°E to 36°E onshore,EPSG,Truncated form of Pulkovo 1995…,"June 22, 2002"
Pulkovo 1995 / Gauss-Kruger CM 39E,2466,projected,Russia - 36°E to 42°E onshore,EPSG,Truncated form of Pulkovo 1995…,"June 22, 2002"
Pulkovo 1995 / Gauss-Kruger CM 45E,2467,projected,Russia - 42°E to 48°E onshore,EPSG,Truncated form of Pulkovo 1995…,"June 22, 2002"
Pulkovo 1995 / Gauss-Kruger CM 51E,2468,projected,Russia - 48°E to 54°E onshore,EPSG,Truncated form of Pulkovo 1995…,"June 22, 2002"
Pulkovo 1995 / Gauss-Kruger CM 57E,2469,projected,Russia - 54°E to 60°E onshore,EPSG,Truncated form of Pulkovo 1995…,"June 22, 2002"
Pulkovo 1995 / Gauss-Kruger CM 63E,2470,projected,Russia - 60°E to 66°E onshore,EPSG,Truncated form of Pulkovo 1995…,"June 22, 2002"
Pulkovo 1995 / Gauss-Kruger CM 69E,2471,projected,Russia - 66°E to 72°E onshore,EPSG,Truncated form of Pulkovo 1995…,"June 22, 2002"
Pulkovo 1995 / Gauss-Kruger CM 75E,2472,projected,Russia - 72°E to 78°E onshore,EPSG,Truncated form of Pulkovo 1995…,"June 22, 2002"
Pulkovo 1995 / Gauss-Kruger CM 81E,2473,projected,Russia - 78°E to 84°E onshore,EPSG,Truncated form of Pulkovo 1995…,"June 22, 2002"
Pulkovo 1995 / Gauss-Kruger CM 87E,2474,projected,Russia - 84°E to 90°E onshore,EPSG,Truncated form of Pulkovo 1995…,"June 22, 2002"
Pulkovo 1995 / Gauss-Kruger CM 93E,2475,projected,Russia - 90°E to 96°E onshore,EPSG,Truncated form of Pulkovo 1995…,"June 22, 2002"
Pulkovo 1995 / Gauss-Kruger CM 99E,2476,projected,Russia - 96°E to 102°E onshore,EPSG,Truncated form of Pulkovo 1995…,"June 22, 2002"
Pulkovo 1995 / Gauss-Kruger CM 105E,2477,projected,Russia - 102°E to 108°E onshor…,EPSG,Truncated form of Pulkovo 1995…,"June 22, 2002"
Pulkovo 1995 / Gauss-Kruger CM 111E,2478,projected,Russia - 108°E to 114°E onshor…,EPSG,Truncated form of Pulkovo 1995…,"June 22, 2002"
Pulkovo 1995 / Gauss-Kruger CM 117E,2479,projected,Russia - 114°E to 120°E onshor…,EPSG,Truncated form of Pulkovo 1995…,"June 22, 2002"
Pulkovo 1995 / Gauss-Kruger CM 123E,2480,projected,Russia - 120°E to 126°E onshor…,EPSG,Truncated form of Pulkovo 1995…,"June 22, 2002"
Pulkovo 1995 / Gauss-Kruger CM 129E,2481,projected,Russia - 126°E to 132°E onshor…,EPSG,Truncated form of Pulkovo 1995…,"June 22, 2002"
Pulkovo 1995 / Gauss-Kruger CM 135E,2482,projected,Russia - 132°E to 138°E onshor…,EPSG,Truncated form of Pulkovo 1995…,"June 22, 2002"
Pulkovo 1995 / Gauss-Kruger CM 141E,2483,projected,Russia - 138°E to 144°E onshor…,EPSG,Truncated form of Pulkovo 1995…,"June 22, 2002"
Pulkovo 1995 / Gauss-Kruger CM 147E,2484,projected,Russia - 144°E to 150°E onshor…,EPSG,Truncated form of Pulkovo 1995…,"June 22, 2002"
Pulkovo 1995 / Gauss-Kruger CM 153E,2485,projected,Russia - 150°E to 156°E onshor…,EPSG,Truncated form of Pulkovo 1995…,"June 22, 2002"
Pulkovo 1995 / Gauss-Kruger CM 159E,2486,projected,Russia - 156°E to 162°E onshor…,EPSG,Truncated form of Pulkovo 1995…,"June 22, 2002"
Pulkovo 1995 / Gauss-Kruger CM 165E,2487,projected,Russia - 162°E to 168°E onshor…,EPSG,Truncated form of Pulkovo 1995…,"June 22, 2002"
Pulkovo 1995 / Gauss-Kruger CM 171E,2488,projected,Russia - 168°E to 174°E onshor…,EPSG,Truncated form of Pulkovo 1995…,"June 22, 2002"
Pulkovo 1995 / Gauss-Kruger CM 177E,2489,projected,Russia - 174°E to 180°E onshor…,EPSG,Truncated form of Pulkovo 1995…,"June 22, 2002"
Pulkovo 1995 / Gauss-Kruger CM 177W,2490,projected,Russia - 180° to 174°W onshore,EPSG,Truncated form of Pulkovo 1995…,"June 22, 2002"
Pulkovo 1995 / Gauss-Kruger CM 171W,2491,projected,Russia - east of 174°W onshore,EPSG,Truncated form of Pulkovo 1995…,"June 22, 2002"
Pulkovo 1942 / Gauss-Kruger CM 21E,2494,projected,Europe - FSU onshore 18°E to 2…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / Gauss-Kruger CM 27E,2495,projected,Europe - FSU onshore 24°E to 3…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / Gauss-Kruger CM 33E,2496,projected,Europe - FSU onshore 30°E to 3…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / Gauss-Kruger CM 39E,2497,projected,Europe - FSU onshore 36°E to 4…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / Gauss-Kruger CM 45E,2498,projected,Europe - FSU onshore 42°E to 4…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / Gauss-Kruger CM 51E,2499,projected,Asia - FSU onshore 48°E to 54°…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / Gauss-Kruger CM 57E,2500,projected,Asia - FSU onshore 54°E to 60°…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / Gauss-Kruger CM 63E,2501,projected,Asia - FSU onshore 60°E to 66°…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / Gauss-Kruger CM 69E,2502,projected,Asia - FSU onshore 66°E to 72°…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / Gauss-Kruger CM 75E,2503,projected,Asia - FSU onshore 72°E to 78°…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / Gauss-Kruger CM 81E,2504,projected,Asia - FSU onshore 78°E to 84°…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / Gauss-Kruger CM 87E,2505,projected,Asia - FSU onshore 84°E to 90°…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / Gauss-Kruger CM 93E,2506,projected,Russia - 90°E to 96°E onshore,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / Gauss-Kruger CM 99E,2507,projected,Russia - 96°E to 102°E onshore,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / Gauss-Kruger CM 105E,2508,projected,Russia - 102°E to 108°E onshor…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / Gauss-Kruger CM 111E,2509,projected,Russia - 108°E to 114°E onshor…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / Gauss-Kruger CM 117E,2510,projected,Russia - 114°E to 120°E onshor…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / Gauss-Kruger CM 123E,2511,projected,Russia - 120°E to 126°E onshor…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / Gauss-Kruger CM 129E,2512,projected,Russia - 126°E to 132°E onshor…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / Gauss-Kruger CM 135E,2513,projected,Russia - 132°E to 138°E onshor…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / Gauss-Kruger CM 141E,2514,projected,Russia - 138°E to 144°E onshor…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / Gauss-Kruger CM 147E,2515,projected,Russia - 144°E to 150°E onshor…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / Gauss-Kruger CM 153E,2516,projected,Russia - 150°E to 156°E onshor…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / Gauss-Kruger CM 159E,2517,projected,Russia - 156°E to 162°E onshor…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / Gauss-Kruger CM 165E,2518,projected,Russia - 162°E to 168°E onshor…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / Gauss-Kruger CM 171E,2519,projected,Russia - 168°E to 174°E onshor…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / Gauss-Kruger CM 177E,2520,projected,Russia - 174°E to 180°E onshor…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / Gauss-Kruger CM 177W,2521,projected,Russia - 180° to 174°W onshore,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / Gauss-Kruger CM 171W,2522,projected,Russia - east of 174°W onshore,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 7,2523,projected,Europe - FSU - 19.5°E to 22.5°…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 8,2524,projected,Europe - FSU - 22.5°E to 25.5°…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 9,2525,projected,Europe - FSU - 25.5°E to 28.5°…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 10,2526,projected,Europe - FSU - 28.5°E to 31.5°…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 11,2527,projected,Europe - FSU - 31.5°E to 34.5°…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 12,2528,projected,Europe - FSU - 34.5°E to 37.5°…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 13,2529,projected,Europe - FSU - 37.5°E to 40.5°…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 14,2530,projected,Europe - FSU - 40.5°E to 43.5°…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 15,2531,projected,Europe - FSU - 43.5°E to 46.5°…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 16,2532,projected,Europe - FSU - 46.5°E to 49.5°…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 17,2533,projected,Asia - FSU - 49.5°E to 52.5°E…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 18,2534,projected,Asia - FSU - 52.5°E to 55.5°E…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 19,2535,projected,Asia - FSU - 55.5°E to 58.5°E…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 20,2536,projected,Asia - FSU - 58.5°E to 61.5°E…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 21,2537,projected,Asia - FSU - 61.5°E to 64.5°E…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 22,2538,projected,Asia - FSU - 64.5°E to 67.5°E…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 23,2539,projected,Asia - FSU - 67.5°E to 70.5°E…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 24,2540,projected,Asia - FSU - 70.5°E to 73.5°E…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 25,2541,projected,Asia - FSU - 73.5°E to 76.5°E…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 26,2542,projected,Asia - FSU - 76.5°E to 79.5°E…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 27,2543,projected,Asia - FSU - 79.5°E to 82.5°E…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 28,2544,projected,Asia - FSU - 82.5°E to 85.5°E…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 29,2545,projected,Asia - FSU - 85.5°E to 88.5°E…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 30,2546,projected,Russia - 88.5°E to 91.5°E onsh…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 31,2547,projected,Russia - 91.5°E to 94.5°E onsh…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 32,2548,projected,Russia - 94.5°E to 97.5°E onsh…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 33,2549,projected,Russia - 97.5°E to 100.5°E ons…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 34,2551,projected,Russia - 100.5°E to 103.5°E on…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 35,2552,projected,Russia - 103.5°E to 106.5°E on…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 36,2553,projected,Russia - 106.5°E to 109.5°E on…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 37,2554,projected,Russia - 109.5°E to 112.5°E on…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 38,2555,projected,Russia - 112.5°E to 115.5°E on…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 39,2556,projected,Russia - 115.5°E to 118.5°E on…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 40,2557,projected,Russia - 118.5°E to 121.5°E on…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 41,2558,projected,Russia - 121.5°E to 124.5°E on…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 42,2559,projected,Russia - 124.5°E to 127.5°E on…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 43,2560,projected,Russia - 127.5°E to 130.5°E on…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 44,2561,projected,Russia - 130.5°E to 133.5°E on…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 45,2562,projected,Russia - 133.5°E to 136.5°E on…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 46,2563,projected,Russia - 136.5°E to 139.5°E on…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 47,2564,projected,Russia - 139.5°E to 142.5°E on…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 48,2565,projected,Russia - 142.5°E to 145.5°E on…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 49,2566,projected,Russia - 145.5°E to 148.5°E on…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 50,2567,projected,Russia - 148.5°E to 151.5°E on…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 51,2568,projected,Russia - 151.5°E to 154.5°E on…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 52,2569,projected,Russia - 154.5°E to 157.5°E on…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 53,2570,projected,Russia - 157.5°E to 160.5°E on…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 54,2571,projected,Russia - 160.5°E to 163.5°E on…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 55,2572,projected,Russia - 163.5°E to 166.5°E on…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 56,2573,projected,Russia - 166.5°E to 169.5°E on…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 57,2574,projected,Russia - 169.5°E to 172.5°E on…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 58,2575,projected,Russia - 172.5°E to 175.5°E on…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 59,2576,projected,Russia - 175.5°E to 178.5°E on…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 61,2578,projected,Russia - 178.5°W to 175.5°W on…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 62,2579,projected,Russia - 175.5°W to 172.5°W on…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 63,2580,projected,Russia - 172.5°W to 169.5°W on…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger zone 64,2581,projected,Russia - east of 169.5°W onsho…,EPSG,Also found with truncated fals…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 21E,2582,projected,Europe - FSU - 19.5°E to 22.5°…,EPSG,Truncated form of Pulkovo 1942…,"July 22, 2006"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 24E,2583,projected,Europe - FSU - 22.5°E to 25.5°…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 27E,2584,projected,Europe - FSU - 25.5°E to 28.5°…,EPSG,Truncated form of Pulkovo 1942…,"July 22, 2006"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 30E,2585,projected,Europe - FSU - 28.5°E to 31.5°…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 33E,2586,projected,Europe - FSU - 31.5°E to 34.5°…,EPSG,Truncated form of Pulkovo 1942…,"July 22, 2006"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 36E,2587,projected,Europe - FSU - 34.5°E to 37.5°…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 39E,2588,projected,Europe - FSU - 37.5°E to 40.5°…,EPSG,Truncated form of Pulkovo 1942…,"July 22, 2006"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 42E,2589,projected,Europe - FSU - 40.5°E to 43.5°…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 45E,2590,projected,Europe - FSU - 43.5°E to 46.5°…,EPSG,Truncated form of Pulkovo 1942…,"July 22, 2006"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 48E,2591,projected,Europe - FSU - 46.5°E to 49.5°…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 51E,2592,projected,Asia - FSU - 49.5°E to 52.5°E…,EPSG,Truncated form of Pulkovo 1942…,"July 22, 2006"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 54E,2593,projected,Asia - FSU - 52.5°E to 55.5°E…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 57E,2594,projected,Asia - FSU - 55.5°E to 58.5°E…,EPSG,Truncated form of Pulkovo 1942…,"July 22, 2006"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 60E,2595,projected,Asia - FSU - 58.5°E to 61.5°E…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 63E,2596,projected,Asia - FSU - 61.5°E to 64.5°E…,EPSG,Truncated form of Pulkovo 1942…,"July 22, 2006"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 66E,2597,projected,Asia - FSU - 64.5°E to 67.5°E…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 69E,2598,projected,Asia - FSU - 67.5°E to 70.5°E…,EPSG,Truncated form of Pulkovo 1942…,"July 22, 2006"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 72E,2599,projected,Asia - FSU - 70.5°E to 73.5°E…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 75E,2601,projected,Asia - FSU - 73.5°E to 76.5°E…,EPSG,Truncated form of Pulkovo 1942…,"July 22, 2006"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 78E,2602,projected,Asia - FSU - 76.5°E to 79.5°E…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 81E,2603,projected,Asia - FSU - 79.5°E to 82.5°E…,EPSG,Truncated form of Pulkovo 1942…,"July 22, 2006"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 84E,2604,projected,Asia - FSU - 82.5°E to 85.5°E…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 87E,2605,projected,Asia - FSU - 85.5°E to 88.5°E…,EPSG,Truncated form of Pulkovo 1942…,"July 22, 2006"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 90E,2606,projected,Russia - 88.5°E to 91.5°E onsh…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 93E,2607,projected,Russia - 91.5°E to 94.5°E onsh…,EPSG,Truncated form of Pulkovo 1942…,"July 22, 2006"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 96E,2608,projected,Russia - 94.5°E to 97.5°E onsh…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 99E,2609,projected,Russia - 97.5°E to 100.5°E ons…,EPSG,Truncated form of Pulkovo 1942…,"July 22, 2006"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 102E,2610,projected,Russia - 100.5°E to 103.5°E on…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 105E,2611,projected,Russia - 103.5°E to 106.5°E on…,EPSG,Truncated form of Pulkovo 1942…,"July 22, 2006"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 108E,2612,projected,Russia - 106.5°E to 109.5°E on…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 111E,2613,projected,Russia - 109.5°E to 112.5°E on…,EPSG,Truncated form of Pulkovo 1942…,"July 22, 2006"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 114E,2614,projected,Russia - 112.5°E to 115.5°E on…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 117E,2615,projected,Russia - 115.5°E to 118.5°E on…,EPSG,Truncated form of Pulkovo 1942…,"July 22, 2006"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 120E,2616,projected,Russia - 118.5°E to 121.5°E on…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 123E,2617,projected,Russia - 121.5°E to 124.5°E on…,EPSG,Truncated form of Pulkovo 1942…,"July 22, 2006"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 126E,2618,projected,Russia - 124.5°E to 127.5°E on…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 129E,2619,projected,Russia - 127.5°E to 130.5°E on…,EPSG,Truncated form of Pulkovo 1942…,"July 22, 2006"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 132E,2620,projected,Russia - 130.5°E to 133.5°E on…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 135E,2621,projected,Russia - 133.5°E to 136.5°E on…,EPSG,Truncated form of Pulkovo 1942…,"July 22, 2006"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 138E,2622,projected,Russia - 136.5°E to 139.5°E on…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 141E,2623,projected,Russia - 139.5°E to 142.5°E on…,EPSG,Truncated form of Pulkovo 1942…,"July 22, 2006"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 144E,2624,projected,Russia - 142.5°E to 145.5°E on…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 147E,2625,projected,Russia - 145.5°E to 148.5°E on…,EPSG,Truncated form of Pulkovo 1942…,"July 22, 2006"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 150E,2626,projected,Russia - 148.5°E to 151.5°E on…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 153E,2627,projected,Russia - 151.5°E to 154.5°E on…,EPSG,Truncated form of Pulkovo 1942…,"July 22, 2006"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 156E,2628,projected,Russia - 154.5°E to 157.5°E on…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 159E,2629,projected,Russia - 157.5°E to 160.5°E on…,EPSG,Truncated form of Pulkovo 1942…,"July 22, 2006"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 162E,2630,projected,Russia - 160.5°E to 163.5°E on…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 165E,2631,projected,Russia - 163.5°E to 166.5°E on…,EPSG,Truncated form of Pulkovo 1942…,"July 22, 2006"
Pulkovo 1942 / 3-degree Gauss-Kruger CM 168E,2632,projected,Russia - 166.5°E to 169.5°E on…,EPSG,Truncated form of Pulkovo 1942…,"June 22, 2002"
